asdf_id,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2012.sum,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2012.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,535.0494384765625,327.7335510253906,8817.60839844,7926.47070312,,0,0,CHL,CHL-ADM3-31136180B50538386,Marchigüe,ADM3
1,1300.517822265625,668.5069580078125,15627.5195312,13321.3798828,,1,1,CHL,CHL-ADM3-31136180B54262267,Codegua,ADM3
2,702.6624755859375,276.2059326171875,8419.09960938,7467.12548828,,2,2,CHL,CHL-ADM3-31136180B4849223,Coinco,ADM3
3,1161.2366943359375,663.4166870117188,19332.046875,17949.375,,3,3,CHL,CHL-ADM3-31136180B94556136,Coltauco,ADM3
4,174.52333068847656,145.6367645263672,11977.5244141,11109.3164062,,4,4,CHL,CHL-ADM3-31136180B14840627,Cholchol,ADM3
5,388.66021728515625,180.77334594726562,19397.0449219,19091.6445312,,5,5,CHL,CHL-ADM3-31136180B11933338,Cunco,ADM3
6,920.0420532226562,618.9093017578125,28071.6464844,27161.2695312,,6,6,CHL,CHL-ADM3-31136180B38398061,Freire,ADM3
7,148.90496826171875,91.55895233154297,9586.15625,10792.1669922,,7,7,CHL,CHL-ADM3-31136180B97044930,Galvarino,ADM3
8,1841.92431640625,1414.2427978515625,36732.3125,31498.765625,,8,8,CHL,CHL-ADM3-31136180B79139282,Graneros,ADM3
9,1182.777587890625,730.4105224609375,15447.0927734,14357.5986328,,9,9,CHL,CHL-ADM3-31136180B87090592,Malloa,ADM3
10,632.232177734375,394.1648254394531,35373.5898438,32810.9960938,,10,10,CHL,CHL-ADM3-31136180B46531732,Nueva Imperial,ADM3
11,400.62237548828125,205.45205688476562,7657.67578125,7104.43066406,,11,11,CHL,CHL-ADM3-31136180B49640287,Perquenco,ADM3
12,696.7337646484375,525.6597290039062,25942.7929688,23951.6777344,,12,12,CHL,CHL-ADM3-31136180B68903080,Pitrufquén,ADM3
