adm3,year,ntl
Algarrobo,2012,6.8630753
Algarrobo,2020,6.7437391
Alhué,2012,6.8985004
Alhué,2020,7.6052818
Alto Biobío,2012,3.5848963
Alto Biobío,2020,4.278615
Alto Hospicio,2012,5.9034195
Alto Hospicio,2020,5.9616871
Alto del Carmen,2012,7.2605419
Alto del Carmen,2020,7.1299992
Ancud,2012,4.9466805
Ancud,2020,5.328361
Andacollo,2012,7.3811469
Andacollo,2020,7.4828496
Angol,2012,5.7039614
Angol,2020,6.0480695
Antofagasta,2012,6.3171663
Antofagasta,2020,6.2045488
Antuco,2012,6.1108007
Antuco,2020,6.7009706
Arauco,2012,6.0790615
Arauco,2020,6.8035583
Arica,2012,5.6018023
Arica,2020,5.9011955
Aysén,2012,5.2756357
Aysén,2020,5.8198261
Buin,2012,5.8832426
Buin,2020,6.4367819
Bulnes,2012,5.8987846
Bulnes,2020,6.3418489
Cabildo,2012,5.841013
Cabildo,2020,6.0226703
Cabo de Hornos,2012,5.1748705
Cabo de Hornos,2020,6.0281153
Cabrero,2012,6.2567339
Cabrero,2020,6.6246123
Calama,2012,7.2459245
Calama,2020,7.1630445
Calbuco,2012,5.1035929
Calbuco,2020,5.7618146
Caldera,2012,6.8569012
Caldera,2020,6.8592463
Calera,2012,5.5515852
Calera,2020,5.5806904
Calera de Tango,2012,6.0395856
Calera de Tango,2020,6.2968707
Calle Larga,2012,6.3138804
Calle Larga,2020,6.7234721
Camarones,2012,4.5097742
Camarones,2020,6.62533
Camiña,2012,6.4342632
Camiña,2020,7.3843904
Canela,2012,6.336988
Canela,2020,6.5916562
Carahue,2012,4.9694562
Carahue,2020,5.0158529
Cartagena,2012,6.491951
Cartagena,2020,5.9857326
Casablanca,2012,6.2690258
Casablanca,2020,6.2608776
Castro,2012,5.3881192
Castro,2020,5.4673376
Catemu,2012,6.1699481
Catemu,2020,6.4780731
Cauquenes,2012,5.493546
Cauquenes,2020,5.6096153
Cañete,2012,5.4461746
Cañete,2020,5.6176
Cerrillos,2012,6.3596039
Cerrillos,2020,6.4392405
Cerro Navia,2012,5.2905831
Cerro Navia,2020,5.3099422
Chaitén,2012,4.9825907
Chaitén,2020,5.7256217
Chanco,2012,4.795681
Chanco,2020,5.5020976
