adm3,ntl2012,ntl2020
Algarrobo,6.8630753,6.7437391
Alhué,6.8985004,7.6052818
Alto Biobío,3.5848963,4.278615
Alto Hospicio,5.9034195,5.9616871
Alto del Carmen,7.2605419,7.1299992
Ancud,4.9466805,5.328361
Andacollo,7.3811469,7.4828496
Angol,5.7039614,6.0480695
Antofagasta,6.3171663,6.2045488
Antuco,6.1108007,6.7009706
Arauco,6.0790615,6.8035583
Arica,5.6018023,5.9011955
Aysén,5.2756357,5.8198261
Buin,5.8832426,6.4367819
Bulnes,5.8987846,6.3418489
Cabildo,5.841013,6.0226703
Cabo de Hornos,5.1748705,6.0281153
Cabrero,6.2567339,6.6246123
Calama,7.2459245,7.1630445
Calbuco,5.1035929,5.7618146
Caldera,6.8569012,6.8592463
Calera,5.5515852,5.5806904
Calera de Tango,6.0395856,6.2968707
Calle Larga,6.3138804,6.7234721
Camarones,4.5097742,6.62533
Camiña,6.4342632,7.3843904
Canela,6.336988,6.5916562
Carahue,4.9694562,5.0158529
Cartagena,6.491951,5.9857326
Casablanca,6.2690258,6.2608776
Castro,5.3881192,5.4673376
Catemu,6.1699481,6.4780731
Cauquenes,5.493546,5.6096153
Cañete,5.4461746,5.6176
Cerrillos,6.3596039,6.4392405
Cerro Navia,5.2905831,5.3099422
Chaitén,4.9825907,5.7256217
Chanco,4.795681,5.5020976
Chañaral,6.6141267,6.9446526
Chiguayante,5.1765833,5.119441
Chile Chico,6.3516026,6.6539106
Chillán,5.7940989,6.2155972
Chillán Viejo,5.9760494,5.9574456
Chimbarongo,6.0621004,6.6151514
Cholchol,4.8759165,4.9816117
Chonchi,5.1939344,5.3472099
Chépica,5.4059744,6.2747073
Cisnes,4.4234052,6.299427
Cobquecura,5.6063485,6.2329531
Cochamó,4.5988255,5.5218124
Cochrane,6.6466074,7.0653124
Codegua,6.2182617,6.7240696
Coelemu,5.2926841,5.7569542
Coihueco,5.2055817,6.1166005
Coinco,5.9132218,6.7269588
Colbún,5.9608655,6.2188568
Colchane,4.0905132,6.2242312
Colina,6.6338334,6.7416272
Collipulli,6.5174336,6.8815908
Coltauco,5.9124331,6.3980618
Combarbalá,6.3064785,6.483953
Concepción,5.8343921,6.0222998
Conchalí,5.8229599,6.0184731
Concón,6.2217155,5.8318009
Constitución,5.6937513,5.9851174
Contulmo,5.5541015,5.9234605
Copiapó,6.0713992,6.1592641
Coquimbo,6.0703406,5.7842469
